Year,Name,Position,School,Stats,Unaminous ,,ID
2022,Bijan Robinson*,RB,Texas,258 Att 1580 Yds 6.1 Avg 18 TD,Yes,,bijan-robinson-1
2022,Marvin Harrison Jr.*,WR,Ohio State,77 Rec 1263 Yds 16.4 Avg 14 TD,Yes,,marvin-harrison-jr-1
2022,Jalin Hyatt*,WR,Tennessee,67 Rec 1267 Yds 18.9 Avg 15 TD,Yes,,jalin-hyatt-1
2022,Michael Mayer*,TE,Notre Dame,67 Rec 809 Yds 12.1 Avg 9 TD,No,,michael-mayer-1
2022,Esteban Avila*,OL,TCU,,No,,esteban-avila-1
2022,Paris Johnson Jr.*,OL,Ohio State,,No,,paris-johnson-jr-1
2022,Victor Oluwatimi*,OL,Michigan,,No,,victor-oluwatimi-1
2022,Peter Skoronski,OL,Northwestern,,Yes,,peter-skoronski-1
2022,O'Cyrus Torrence*,OL,Florida,,No,,ocyrus-torrence-1
2022,Christopher Dunn*,K,North Carolina State,30 XPM 30 XPA 28 FGM 29 FGA 114 Pts,No,,christopher-dunn-1
2022,Deuce Vaughn*,AP,Kansas State,293 Att 1558 Yds 5.3 Avg 9 TD,No,,deuce-vaughn-1
2022,Jalen Carter*,DL,Georgia,16 Solo 16 Ast 3.0 Sk 0 Int,Yes,,jalen-carter-1
2022,Calijah Kancey*,DL,Pitt,17 Solo 14 Ast 7.5 Sk 0 Int,Yes,,calijah-kancey-1
2022,Tuli Tuipulotu*,DL,USC,31 Solo 15 Ast 13.5 Sk 0 Int,Yes,,tuli-tuipulotu-1
2022,Will Anderson Jr.*,LB,Alabama,24 Solo 27 Ast 10.0 Sk 1 Int,Yes,,will-anderson-jr-1
2022,Jack Campbell*,LB,Iowa,60 Solo 68 Ast 1.0 Sk 2 Int,Yes,,jack-campbell-1
2022,Ivan Pace Jr.*,LB,Cincinnati,56 Solo 81 Ast 10.0 Sk 0 Int,Yes,,ivan-pace-jr-1
2022,Emmanuel Forbes*,DB,Mississippi State,26 Solo 20 Ast 0.0 Sk 6 Int,No,,emmanuel-forbes-1
2022,Clark Phillips III*,DB,Utah,16 Solo 8 Ast 1.0 Sk 6 Int,Yes,,clark-phillips-iii-1
2022,Christopher Smith*,DB,Georgia,45 Solo 16 Ast 1.0 Sk 3 Int,Yes,,christopher-smith-1
2022,Devon Witherspoon*,DB,Illinois,32 Solo 9 Ast 0.0 Sk 3 Int,No,,devon-witherspoon-1
2022,Bryce Baringer,P,Michigan State,50 Punts 2450 Yds 49.0 Avg,No,,bryce-baringer-1
2023,Jayden Daniels*,QB,LSU,236 Cmp 327 Att 3812 Yds 40 TD 4 Int,No,,jayden-daniels-1
2023,Ollie Gordon*,RB,Oklahoma State,285 Att 1732 Yds 6.1 Avg 21 TD,Yes,,ollie-gordon-1
2023,Cody Schrader*,RB,Missouri,276 Att 1627 Yds 5.9 Avg 14 TD,No,,cody-schrader-1
2023,Marvin Harrison Jr.*,WR,Ohio State,67 Rec 1211 Yds 18.1 Avg 14 TD,Yes,,marvin-harrison-jr-1
