Year,Name,Position,School,Stats,Unaminous,ID
2012,Zach Ertz*,TE,Stanford,69 Rec 898 Yds 13.0 Avg 6 TD,No,zach-ertz-1
2012,Jonathan Cooper,OL,North Carolina,,Yes,jonathan-cooper-1
2012,Luke Joeckel,OL,Texas A&M,,Yes,luke-joeckel-1
2012,Barrett Jones,OL,Alabama,,No,barrett-jones-1
2012,Chance Warmack*,OL,Alabama,,Yes,chance-warmack-1
2012,Cairo Santos,K,Tulane,26 XPM 27 XPA 21 FGM 21 FGA 89 Pts,No,cairo-santos-1
2012,Dri Archer*,AP,Kent State,159 Att 1429 Yds 9.0 Avg 16 TD,No,dri-archer-1
2012,Jadeveon Clowney*,DL,South Carolina,40 Solo 14 Ast 13.0 Sk,Yes,jadeveon-clowney-1
2012,Damontre Moore*,DL,Texas A&M,57 Solo 28 Ast 12.5 Sk 0 Int,No,damontre-moore-1
2012,Will Sutton*,DL,Arizona State,41 Solo 22 Ast 13.0 Sk,No,will-sutton-1
2012,Bjoern Werner*,DL,Florida State,30 Solo 12 Ast 13.0 Sk 0 Int,Yes,bjoern-werner-1
2012,Jarvis Jones*,LB,Georgia,52 Solo 33 Ast 14.5 Sk 1 Int,Yes,jarvis-jones-1
2012,C.J. Mosley*,LB,Alabama,66 Solo 41 Ast 4.0 Sk 2 Int,No,cj-mosley-1
2012,Manti Te'o*,LB,Notre Dame,55 Solo 58 Ast 1.5 Sk 7 Int,Yes,manti-teo-1
2012,Demarcus Milliner*,DB,Alabama,34 Solo 20 Ast 1.5 Sk 2 Int,Yes,demarcus-milliner-1
2012,Jordan Poyer*,DB,Oregon State,34 Solo 17 Ast 2.0 Sk 7 Int,No,jordan-poyer-1
2012,Phillip Thomas*,DB,Fresno State,66 Solo 18 Ast 4.0 Sk 8 Int,Yes,phillip-thomas-2
2012,Ryan Allen,P,Louisiana Tech,45 Punts 2162 Yds 48.0 Avg,Yes,ryan-allen-1
2013,Jameis Winston*,QB,Florida State,257 Cmp 384 Att 4057 Yds 40 TD 10 Int,No,jameis-winston-1
2013,Ka'Deem Carey*,RB,Arizona,349 Att 1885 Yds 5.4 Avg 19 TD,No,kadeem-carey-1
2013,Andre Williams*,RB,Boston College,355 Att 2177 Yds 6.1 Avg 18 TD,Yes,andre-williams-2
2013,Brandin Cooks*,WR,Oregon State,128 Rec 1730 Yds 13.5 Avg 16 TD,No,brandin-cooks-1
2013,Mike Evans*,WR,Texas A&M,69 Rec 1394 Yds 20.2 Avg 12 TD,No,mike-evans-4
2013,Jace Amaro*,TE,Texas Tech,106 Rec 1352 Yds 12.8 Avg 7 TD,Yes,jace-amaro-1
2013,Gabe Ikard,OL,Oklahoma,,No,gabe-ikard-1
2013,Cyrus Kouandjio,OL,Alabama,,No,cyrus-kouandjio-1
2013,Jake Matthews,OL,Texas A&M,,Yes,jake-matthews-1
2013,Cyril Richardson,OL,Baylor,,Yes,cyril-richardson-1
2013,Bryan Stork*,OL,Florida State,,No,bryan-stork-1
2013,David Yankey,OL,Stanford,,Yes,david-yankey-1
2013,Anthony Fera*,K,Texas,45 XPM 46 XPA 20 FGM 21 FGA 105 Pts,No,anthony-fera-1
2013,Ty Montgomery*,AP,Stanford,61 Rec 958 Yds 15.7 Avg 10 TD,No,ty-montgomery-1
2013,Vic Beasley*,DL,Clemson,31 Solo 9 Ast 13.0 Sk 0 Int,No,vic-beasley-1
